vendor_no,supplier_name,part_no,part_desc,blanket_po,po_date,po_qty,unit_price,received_qty,desp_qty,vendor_remark,hal_remark,id,division_name,blanket_line
IS0026,S. N. TOOLS PRIVATE LIMITED,98.36.00.032-1,WASHER,21SBI-1153,28-06-2022,167,190,0,,,,19074,"Sukhoi Engine Divn, Koraput",
IS0026,S. N. TOOLS PRIVATE LIMITED,98.36.00.032-1,WASHER,23UBI-1001,31-05-2023,93,189,93,93,,,19075,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,098.7152-1,NUT,20SBI-1024,26-09-2020,17,350,17,17,,,19076,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,099.3531-02-1,Rivet,21SBI-1034,07-07-2021,247,100,228,247,,,19077,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.01.22.016-1,INT SEMIRING OF VAR INLET GUID,19SBI-1084,27-08-2019,24,11500,24,24,,,19078,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.03.07.011-1,CAP,21SBI-1119,08-03-2022,6,520,6,6,,,19079,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.04.23.035-1,FLANGE,19SBI-1160,10-01-2020,192,950,76,77,,,19080,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.06.68.103-1,DRIVE  CASING,19SBI-1040,26-07-2019,91,5520,83,85,,,19081,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.06.68.132-1,COVER,19SBI-1197,22-02-2020,37,2100,34,37,,,19082,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,96.01.24.026-1,DRIVE FLANGE,21SBI-1101,09-12-2021,5,11445,3,5,,,19083,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,98.36.10.014-1,BRACKET,19SBI-1113,12-12-2019,480,1050,478,480,,,19084,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.01.21.018-1,Housing of SEALING,20SBI-1024,26-09-2020,1,3780,0,,,,19085,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.01.26.021-1,BRACKET OF HYDRAULIC CYLINDER,21SBI-1034,07-07-2021,11,2600,11,11,,,19086,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.03.01.032-1,FLANGE,19SBI-1084,27-08-2019,37,5300,35,37,,,19087,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.21.001-1,REAR CASE,19SBI-1197,22-02-2020,18,12325,17,18,,,19089,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.01.24.091-1,FLANGE,20SBI-1024,26-09-2020,21,990,21,21,,,19090,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.01.31.091-1,BOSS,21SBI-1034,07-07-2021,3,4000,0,,,,19091,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.03.07.021-1,CASING,19SBI-1084,27-08-2019,47,650,46,47,,,19092,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.06.52.001-1,CASING,21SBI-1119,08-03-2022,2,72000,0,,,,19093,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.22.003-1,COVER,19SBI-1197,22-02-2020,35,1900,35,35,,,19094,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.01.32.037-1,BOSS,21SBI-1034,07-07-2021,4,1900,3,4,,,19095,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.04.03.014-1,CAP,19SBI-1084,27-08-2019,15,190,15,15,,,19096,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.04.03.014-1,CAP,20SBI-1024,26-09-2020,4,200,3,4,,,19097,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.06.64.001-1,CASING,21SBI-1119,08-03-2022,9,3300,0,3,,,19098,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.09.03.021-1,CASING,19SBI-1197,22-02-2020,45,14700,44,45,,,19099,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.06.52.057-1-1,COVER,19SBI-1084,27-08-2019,12,1175,12,12,,,19100,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.06.64.002-1,COVER,21SBI-1119,08-03-2022,13,5100,13,13,,,19101,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.06.68.004-1,COVER,21SBI-1034,07-07-2021,4,43000,4,4,,,19102,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.25.001-1,BREATHER CASING,20SBI-1024,26-09-2020,22,4625,9,13,,,19103,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.12.051-1,PUMP CASING,21SBI-1034,07-07-2021,9,2600,7,9,,,19104,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.22.001-1,LOWER CASING,19SBI-1084,27-08-2019,86,4335,32,45,,,19105,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.22.003-1,COVER,21SBI-1119,08-03-2022,13,2000,12,13,,,19106,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.13.03.034-1,SLEEVE,20SBI-1024,26-09-2020,18,1350,17,18,,,19107,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.21.001-1,REAR CASE,21SBI-1034,07-07-2021,4,13000,4,4,,,19108,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.22.002-1,TOP CASING,19SBI-1084,27-08-2019,96,5600,60,67,,,19109,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.23.003-1,COVER,21SBI-1119,08-03-2022,4,3600,4,4,,,19110,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.13.06.018-1,LEVER,20SBI-1024,26-09-2020,24,1060,24,24,,,19111,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.06.64.002-1,COVER,20SBI-1024,26-09-2020,10,4950,10,10,,,19112,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.21.002-1,MIDDLE CASE,21SBI-1034,07-07-2021,4,6025,4,4,,,19113,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.24.001-1,PUMP CASING,21SBI-1119,08-03-2022,17,2300,15,15,,,19114,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.13.01.206-1,UNION,19SBI-1084,27-08-2019,18,370,18,18,,,19115,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.21.012-1,RIGHT THRUST BEARING,21SBI-1034,07-07-2021,6,550,3,6,,,19116,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.23.001-1,FRONT CASING,20SBI-1024,26-09-2020,9,4880,8,8,,,19117,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.24.002-1,PUMP COVER,21SBI-1119,08-03-2022,15,2780,10,15,,,19118,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,96.26.02.012-1,TRAVERSE,19SBI-1084,27-08-2019,17,760,16,16,,,19119,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,098.7152-1,NUT,19SBI-1084,27-08-2019,9,340,9,9,,,19120,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.23.002-1,INTERMEDIATE CASING,20SBI-1024,26-09-2020,15,4180,13,15,,,19121,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.24.001-1,PUMP CASING,21SBI-1034,07-07-2021,6,2300,5,6,,,19122,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.25.001-1,BREATHER CASING,21SBI-1119,08-03-2022,11,4800,9,10,,,19123,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.01.31.091-1,BOSS,19SBI-1084,27-08-2019,10,3600,10,10,,,19124,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.24.002-1,PUMP COVER,21SBI-1034,07-07-2021,11,2780,10,11,,,19125,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.25.002-1,VALVE HOUSING,20SBI-1024,26-09-2020,12,3060,12,12,,,19126,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.25.002-1,VALVE HOUSING,21SBI-1119,08-03-2022,6,3250,5,5,,,19127,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.06.45.001-1,DIAPHRAGM,19SBI-1084,27-08-2019,100,3200,80,100,,,19128,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.25.002-1,VALVE HOUSING,21SBI-1034,07-07-2021,4,3250,3,4,,,19129,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.09.03.021-1,CASING,21SBI-1119,08-03-2022,11,15430,8,11,,,19130,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.09.03.022-1,COVER,20SBI-1024,26-09-2020,22,2035,22,22,,,19131,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.07.09.008-1,LEFT THRUST BEARNG/CENTERPLATE,19SBI-1084,27-08-2019,49,560,48,49,,,19132,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.09.03.021-1,CASING,21SBI-1034,07-07-2021,11,15430,9,11,,,19133,"Sukhoi Engine Divn, Koraput",
IS0456,SHAKAMBARI INDUSTRIES,104.09.03.022-1,COVER,21SBI-1119,08-03-2022,30,2120,24,25,,,19134,"Sukhoi Engine Divn, Koraput",
